2014-Aug-03,0,0
2014-Aug-04,10,6
2014-Aug-05,7,7
2014-Aug-06,21,14
2014-Aug-07,11,9
2014-Aug-08,9,8
2014-Aug-09,2,2
2014-Aug-10,2,2
2014-Aug-11,8,6
2014-Aug-12,9,8
2014-Aug-13,19,11
2014-Aug-14,9,7
2014-Aug-15,5,5
2014-Aug-16,5,2
2014-Aug-17,5,5
2014-Aug-18,10,8
2014-Aug-19,9,8
2014-Aug-20,3,3
2014-Aug-21,12,8
2014-Aug-22,3,3
2014-Aug-23,2,2
2014-Aug-24,3,3
2014-Aug-25,8,5
2014-Aug-26,7,7
2014-Aug-27,9,8
2014-Aug-28,19,12
2014-Aug-29,18,14
2014-Aug-30,1,1
2014-Aug-31,1,1
2014-Sep-01,6,5
2014-Sep-02,9,8
2014-Sep-03,5,4
2014-Sep-04,9,8
2014-Sep-05,3,3
2014-Sep-06,1,1
2014-Sep-07,2,2
2014-Sep-08,9,9
2014-Sep-09,16,10
2014-Sep-10,9,8
2014-Sep-11,9,7
2014-Sep-12,5,3
2014-Sep-13,5,5
2014-Sep-14,9,7
2014-Sep-15,8,7
2014-Sep-16,12,8
2014-Sep-17,19,11
2014-Sep-18,15,11
2014-Sep-19,16,8
2014-Sep-20,0,0
2014-Sep-21,4,4
2014-Sep-22,4,3
2014-Sep-23,19,14
2014-Sep-24,13,11
2014-Sep-25,26,15
2014-Sep-26,10,9
2014-Sep-27,1,1
2014-Sep-28,1,1
2014-Sep-29,10,9
2014-Sep-30,11,5
2014-Oct-01,15,13
2014-Oct-02,14,13
2014-Oct-03,15,13
2014-Oct-04,7,7
2014-Oct-05,2,2
2014-Oct-06,10,8
2014-Oct-07,38,24
2014-Oct-08,19,16
2014-Oct-09,27,14
2014-Oct-10,30,18
2014-Oct-11,8,7
2014-Oct-12,10,8
2014-Oct-13,20,17
2014-Oct-14,22,14
2014-Oct-15,22,14
2014-Oct-16,25,17
2014-Oct-17,15,9
2014-Oct-18,7,5
2014-Oct-19,7,5
2014-Oct-20,19,14
2014-Oct-21,26,18
2014-Oct-22,31,16
2014-Oct-23,16,13
2014-Oct-24,11,9
2014-Oct-25,4,3
2014-Oct-26,8,8
2014-Oct-27,11,8
2014-Oct-28,9,8
2014-Oct-29,19,16
2014-Oct-30,10,8
2014-Oct-31,8,7
2014-Nov-01,8,6
2014-Nov-02,5,5
2014-Nov-03,15,14
2014-Nov-04,16,13
2014-Nov-05,7,7
2014-Nov-06,6,6
2014-Nov-07,8,8
2014-Nov-08,9,7
2014-Nov-09,4,4
2014-Nov-10,12,10
2014-Nov-11,15,13
2014-Nov-12,18,12
2014-Nov-13,13,8
2014-Nov-14,16,13
2014-Nov-15,6,4
2014-Nov-16,5,4
2014-Nov-17,17,12
2014-Nov-18,11,9
2014-Nov-19,19,12
2014-Nov-20,25,16
2014-Nov-21,14,10
2014-Nov-22,7,5
2014-Nov-23,4,4
2014-Nov-24,11,8
2014-Nov-25,8,6
2014-Nov-26,19,13
2014-Nov-27,3,3
2014-Nov-28,12,7
2014-Nov-29,5,4
2014-Nov-30,7,7
2014-Dec-01,15,11
2014-Dec-02,11,8
2014-Dec-03,7,6
2014-Dec-04,7,6
2014-Dec-05,13,11
2014-Dec-06,8,7
2014-Dec-07,2,2
2014-Dec-08,15,11
2014-Dec-09,9,4
2014-Dec-10,4,3
2014-Dec-11,8,7
2014-Dec-12,15,9
2014-Dec-13,7,4
2014-Dec-14,4,3
2014-Dec-15,27,13
2014-Dec-16,15,11
2014-Dec-17,27,17
2014-Dec-18,18,14
2014-Dec-19,19,16
2014-Dec-20,6,5
2014-Dec-21,3,3
2014-Dec-22,4,4
2014-Dec-23,7,7
2014-Dec-24,5,4
2014-Dec-25,1,1
2014-Dec-26,4,3
2014-Dec-27,6,4
2014-Dec-28,1,1
2014-Dec-29,3,3
