2014-Feb-17,274,25
2014-Feb-18,145,30
2014-Feb-19,129,27
2014-Feb-20,202,24
2014-Feb-21,240,22
2014-Feb-22,62,17
2014-Feb-23,28,12
2014-Feb-24,217,19
2014-Feb-25,90,25
2014-Feb-26,189,36
2014-Feb-27,112,26
2014-Feb-28,81,20
2014-Mar-01,113,17
2014-Mar-02,53,16
2014-Mar-03,41,21
2014-Mar-04,144,35
2014-Mar-05,51,20
2014-Mar-06,157,25
2014-Mar-07,50,22
2014-Mar-08,50,11
2014-Mar-09,42,13
2014-Mar-10,61,16
2014-Mar-11,27,16
2014-Mar-12,111,20
2014-Mar-13,66,20
2014-Mar-14,223,25
2014-Mar-15,46,9
2014-Mar-16,26,17
2014-Mar-17,80,29
2014-Mar-18,59,30
2014-Mar-19,85,31
2014-Mar-20,122,18
2014-Mar-21,61,21
2014-Mar-22,33,18
2014-Mar-23,64,14
2014-Mar-24,95,24
2014-Mar-25,75,28
2014-Mar-26,49,18
2014-Mar-27,57,24
2014-Mar-28,33,16
2014-Mar-29,41,16
2014-Mar-30,19,11
2014-Mar-31,52,12
2014-Apr-01,120,21
2014-Apr-02,68,23
2014-Apr-03,98,28
2014-Apr-04,77,21
2014-Apr-05,80,15
2014-Apr-06,55,15
2014-Apr-07,71,31
2014-Apr-08,84,26
2014-Apr-09,33,18
2014-Apr-10,32,16
2014-Apr-11,51,20
2014-Apr-12,25,15
2014-Apr-13,49,20
2014-Apr-14,120,23
2014-Apr-15,191,27
2014-Apr-16,219,24
2014-Apr-17,216,30
2014-Apr-18,63,19
2014-Apr-19,36,11
2014-Apr-20,25,7
2014-Apr-21,115,24
2014-Apr-22,128,31
2014-Apr-23,87,25
2014-Apr-24,108,23
2014-Apr-25,111,20
2014-Apr-26,89,9
2014-Apr-27,29,11
2014-Apr-28,177,28
2014-Apr-29,170,27
2014-Apr-30,183,28
2014-May-01,97,25
2014-May-02,64,23
2014-May-03,43,12
2014-May-04,32,14
2014-May-05,125,28
2014-May-06,68,24
2014-May-07,68,19
2014-May-08,114,14
2014-May-09,47,20
2014-May-10,139,20
2014-May-11,14,9
2014-May-12,90,27
2014-May-13,92,22
2014-May-14,197,32
2014-May-15,140,26
2014-May-16,59,20
2014-May-17,21,9
2014-May-18,54,16
2014-May-19,117,28
2014-May-20,47,18
2014-May-21,55,19
2014-May-22,77,26
2014-May-23,28,12
2014-May-24,38,13
2014-May-25,36,14
2014-May-26,44,13
2014-May-27,166,24
2014-May-28,139,20
2014-May-29,67,25
2014-May-30,73,11
2014-May-31,60,9
2014-Jun-01,22,11
2014-Jun-02,87,18
2014-Jun-03,103,31
2014-Jun-04,105,27
2014-Jun-05,74,22
2014-Jun-06,55,16
2014-Jun-07,53,15
2014-Jun-08,19,5
2014-Jun-09,91,14
2014-Jun-10,136,19
2014-Jun-11,104,27
2014-Jun-12,195,22
2014-Jun-13,51,18
2014-Jun-14,4,4
2014-Jun-15,19,8
2014-Jun-16,86,19
2014-Jun-17,60,20
2014-Jun-18,115,25
2014-Jun-19,73,20
2014-Jun-20,24,12
2014-Jun-21,12,4
2014-Jun-22,30,10
2014-Jun-23,106,23
2014-Jun-24,51,16
2014-Jun-25,115,25
2014-Jun-26,77,24
2014-Jun-27,91,24
2014-Jun-28,30,9
2014-Jun-29,9,7
2014-Jun-30,80,25
2014-Jul-01,118,17
2014-Jul-02,124,18
2014-Jul-03,103,22
2014-Jul-04,33,11
2014-Jul-05,37,13
2014-Jul-06,25,11
2014-Jul-07,147,27
2014-Jul-08,123,14
2014-Jul-09,75,24
2014-Jul-10,68,16
2014-Jul-11,103,22
2014-Jul-12,21,6
2014-Jul-13,16,3
2014-Jul-14,103,24
2014-Jul-15,86,16
